vehiculo,placas,tipo_combustible,tipo_unidad,intervalo_servicio_km
NISSAN FRONTIER,MNC-002-A,Magna,vehiculo_ligero,
RAM 1200,CF-2507-A,Magna,vehiculo_ligero,
RAM 1200,NC-7461-D,Magna,vehiculo_ligero,
NISSAN VERSA,RHR-317-B,Magna,vehiculo_ligero,
TOYOTA HILUX,RK-4556-B,Di̩sel,vehiculo_ligero,
NISSAN NP300,PD-8406-C,Magna,vehiculo_ligero,
TOYOTA HILUX,RN-8563-B,Magna,vehiculo_ligero,
NISSAN NP300,PK-4824-C,Magna,vehiculo_ligero,
TOYOTA HILUX,PJ-1527-C,Magna,vehiculo_ligero,
TOYOTA HILUX,RN-6225-B,Magna,vehiculo_ligero,
MITSUBISHI L200,MVU-715-A,Magna,vehiculo_ligero,
NISSAN FRONTIER,PE-2339-B,Magna,vehiculo_ligero,
NISSAN FRONTIER,PC-1693-B,Di̩sel,vehiculo_ligero,
TOYOTA HILUX,PH-8050-C,Magna,vehiculo_ligero,
NISSAN NP300,PL-0760-C,Magna,vehiculo_ligero,
MITSUBISHI L200,MYB-412-A,Magna,vehiculo_ligero,
TOYOTA HILUX,RL-9508-B,Di̩sel,vehiculo_ligero,
NISSAN FRONTIER,MJR-568-A,Magna,vehiculo_ligero,
NISSAN NP300,LLE-146-A,Magna,vehiculo_ligero,
NISSAN FRONTIER,MJJ-483-A,Magna,vehiculo_ligero,
CAMION P/ MARIMBA,GX-7447-C,Magna,marimba,
CAMION P/ MARIMBA,CV-4156-H,Di̩sel,marimba,
NISSAN FRONTIER,MEC-995-A,Magna,vehiculo_ligero,
NISSAN FRONTIER,MJR-483-A,Magna,vehiculo_ligero,
NISSAN FRONTIER,MNC-034-A,Magna,vehiculo_ligero,
MITSUBISHI L200,MTF-634-A,Magna,vehiculo_ligero,
NISSAN FRONTIER,MUK-949-A,Magna,vehiculo_ligero,
VOLKSWAGEN SAVEIRO,MVJ-251-A,Magna,vehiculo_ligero,
RAM 700,NC-7486-D,Magna,vehiculo_ligero,
NISSAN NP300,PA-8406-C,Magna,vehiculo_ligero,
NISSAN FRONTIER,PE-2404-B,Magna,vehiculo_ligero,
NISSAN FRONTIER,PE-2539-B,Magna,vehiculo_ligero,
NISSAN NP300,PH-9489-C,Magna,vehiculo_ligero,
NISSAN NP300,PH-24896-C,Magna,vehiculo_ligero,
NISSAN FRONTIER,PH-4823-E,Magna,vehiculo_ligero,
NISSAN FRONTIER,PJ-6567-C,Magna,vehiculo_ligero,
NISSAN NP300,PK-4823-C,Magna,vehiculo_ligero,
NISSAN NP300,PK-0868-C,Magna,vehiculo_ligero,
NISSAN NP300,PK-4828-C,Magna,vehiculo_ligero,
NISSAN NP300,PL-0762-C,Magna,vehiculo_ligero,
